candle_begin_time,open,high,low,close,signal,pos,b_bar_quote_volume,kline_pct,r_line_equity_curve
2024-12-05 15:00:00,0.0222685,0.0223552,0.0217744,0.0219895,,0.0,119705955.150377,[-0.01252891],4.435364775528462
2024-12-05 16:00:00,0.0219896,0.0223025,0.0215559,0.0218186,,0.0,99673414.5867651,[-0.00777189],4.435364775528462
2024-12-05 17:00:00,0.02182,0.0220324,0.0216339,0.0219383,,0.0,67463802.1781051,[0.00548614],4.435364775528462
2024-12-05 18:00:00,0.0219384,0.021957,0.0216208,0.0216296,,0.0,38745306.0619949,[-0.01407128],4.435364775528462
2024-12-05 19:00:00,0.0216309,0.0216859,0.021109,0.0211895,,0.0,130401349.00003,[-0.02034712],4.435364775528462
2024-12-05 20:00:00,0.0211894,0.0213446,0.0209286,0.0212818,,0.0,115120186.5821134,[0.00435593],4.435364775528462
2024-12-05 21:00:00,0.0212821,0.0214797,0.02124,0.0214164,,0.0,46303543.335479,[0.00632465],4.435364775528462
2024-12-05 22:00:00,0.0214159,0.0215086,0.0204,0.0212863,,0.0,145706839.0617261,[-0.00607478],4.435364775528462
2024-12-05 23:00:00,0.0212843,0.0216727,0.0209436,0.0212024,,0.0,110260892.7735953,[-0.0039415],4.435364775528462
2024-12-06 00:00:00,0.0212025,0.02182,0.0209677,0.0217576,,0.0,103645527.8786422,[0.02618571],4.435364775528462
2024-12-06 01:00:00,0.0217575,0.0218171,0.0215186,0.02162,,0.0,51372616.5286858,[-0.00632423],4.435364775528462
2024-12-06 02:00:00,0.02162,0.021732,0.0214659,0.0216599,,0.0,36948532.833572604,[0.00184551],4.435364775528462
2024-12-06 03:00:00,0.0216599,0.0216898,0.0214513,0.021688,,0.0,34503961.731917,[0.00129733],4.435364775528462
2024-12-06 04:00:00,0.0216879,0.0217684,0.0215706,0.021713,,0.0,26430316.885687098,[0.00115271],4.435364775528462
2024-12-06 05:00:00,0.021713,0.0217427,0.0215084,0.0215153,,0.0,24961476.2801017,[-0.00910514],4.435364775528462
2024-12-06 06:00:00,0.0215154,0.0217848,0.0215119,0.0217182,,0.0,31115347.4186576,[0.0094305],4.435364775528462
2024-12-06 07:00:00,0.0217182,0.0220598,0.021713,0.0220467,,0.0,92591929.6003139,[0.01512556],4.435364775528462
2024-12-06 08:00:00,0.0220468,0.0222093,0.0217519,0.021845,,0.0,98940753.23100999,[-0.00914876],4.435364775528462
2024-12-06 09:00:00,0.0218454,0.0218937,0.0213,0.021728,,0.0,114709923.7326729,[-0.00535592],4.435364775528462
2024-12-06 10:00:00,0.021729,0.021772,0.0211221,0.0212063,,0.0,115157323.2706165,[-0.02401049],4.435364775528462
2024-12-06 11:00:00,0.0212064,0.021324,0.0209476,0.0209841,,0.0,73758899.6623426,[-0.01047802],4.435364775528462
2024-12-06 12:00:00,0.020984,0.021202,0.0206459,0.0206706,,0.0,70982800.26037,[-0.01493988],4.435364775528462
2024-12-06 13:00:00,0.020673,0.0209399,0.0203502,0.0208136,,0.0,148594497.2941679,[0.00691804],4.435364775528462
2024-12-06 14:00:00,0.0208129,0.0212272,0.0207036,0.021216,,0.0,76914614.2474021,[0.01933351],4.435364775528462
2024-12-06 15:00:00,0.0212168,0.0218692,0.0210986,0.0215015,,0.0,169326207.8144038,[0.01345683],4.435364775528462
2024-12-06 16:00:00,0.0215034,0.021629,0.0213437,0.0214862,,0.0,59650717.5753083,[-0.00071158],4.435364775528462
2024-12-06 17:00:00,0.0214862,0.0218,0.0214569,0.0216681,,0.0,46579625.5521095,[0.0084659],4.435364775528462
2024-12-06 18:00:00,0.0216681,0.0217881,0.0215721,0.0216585,,0.0,38927812.1246697,[-0.00044305],4.435364775528462
2024-12-06 19:00:00,0.0216584,0.0222288,0.0216368,0.0220436,,0.0,100943198.89833671,[0.01778055],4.435364775528462
2024-12-06 20:00:00,0.0220436,0.0222609,0.021968,0.0220157,,0.0,57158312.6680293,[-0.00126567],4.435364775528462
2024-12-06 21:00:00,0.0220167,0.0222339,0.0219557,0.0220242,,0.0,47100627.2932363,[0.00038609],4.435364775528462
2024-12-06 22:00:00,0.0220241,0.0221985,0.0218064,0.0218129,,0.0,51125273.5076119,[-0.00959399],4.435364775528462
2024-12-06 23:00:00,0.0218129,0.0218598,0.0214747,0.0215625,,0.0,62762303.9838454,[-0.01147945],4.435364775528462
2024-12-07 00:00:00,0.0215626,0.0217413,0.0214246,0.0215781,,0.0,33877701.5519029,[0.00072348],4.435364775528462
2024-12-07 01:00:00,0.0215795,0.021644,0.0213795,0.021472,,0.0,33031848.8067684,[-0.00491702],4.435364775528462
2024-12-07 02:00:00,0.021472,0.0217293,0.021392,0.0215375,,0.0,28816450.9408924,[0.00305048],4.435364775528462
